City,Country,Date,Lat,Long,Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Tual,ID,1562333626,-5.67,132.75,77.47,82,8,17.76
Kabwe,ZM,1562334191,-14.44,28.44,75.13,18,0,7.05
Quatre Cocos,MU,1562334191,-20.21,57.76,73.99,69,40,5.82
Manavalakurichi,IN,1562334191,8.13,77.3,84.2,83,75,5.82
Benguela,AO,1562334192,-12.58,13.4,70.63,85,0,5.64
Kamenka,MD,1562334192,48.03,28.7,79.0,45,90,3.0
Salinopolis,BR,1562334192,-0.61,-47.36,81.61,80,0,15.14
Todos Santos,MX,1562334192,23.45,-110.23,81.0,44,5,7.31
Dunedin,NZ,1562333995,-45.87,170.5,48.0,74,100,25.01
Garissa,KE,1562334192,-0.46,39.64,88.27,38,0,20.62
Walvis Bay,NA,1562334193,-22.95,14.51,80.6,39,0,9.17
Newton,US,1562334193,42.34,-71.21,84.2,54,1,3.36
Oktyabrskoye,RU,1562334193,56.73,85.44,70.0,68,20,8.95
Villa Carlos Paz,AR,1562334193,-31.42,-64.5,46.0,70,20,2.24
Rio Grande,BR,1562334071,-32.03,-52.1,44.6,65,40,11.41
Srednekolymsk,RU,1562334194,67.46,153.71,45.25,95,100,8.12
Kigoma,TZ,1562334194,-4.88,29.64,78.37,56,0,8.72
Havre-Saint-Pierre,CA,1562334194,50.23,-63.6,64.4,72,20,5.82
Filadelfia,PY,1562334194,-22.35,-60.04,62.35,37,0,12.28
Znamenskoye,RU,1562334195,57.13,73.82,67.03,77,0,6.76
Nicoya,CR,1562334057,10.15,-85.45,82.4,61,0,17.22
Alta Floresta,BR,1562334195,-9.87,-56.08,84.2,70,0,4.7
Palmer,AU,1562334195,-34.85,139.16,63.0,48,0,20.8
Santa Maria,BR,1562334195,-16.02,-48.01,80.6,42,0,2.24
Upington,ZA,1562334196,-28.46,21.24,65.05,21,0,3.71
Lorengau,PG,1562334196,-2.02,147.27,78.19,82,100,2.19
Lata,IN,1562334196,30.78,78.62,47.59,88,86,1.21
Faya,SA,1562334196,18.39,42.45,89.6,44,75,8.05
Kansanshi,ZM,1562334196,-12.1,26.43,75.49,30,0,4.74
Bathsheba,BB,1562333353,13.22,-59.52,84.2,70,40,26.4
Yangambi,CD,1562334197,0.77,24.47,82.69,64,40,4.03
Cockburn Town,TC,1562333933,21.46,-71.14,82.51,76,0,21.25
Kendari,ID,1562334197,-3.99,122.52,69.91,94,0,0.85
Sioux Lookout,CA,1562334198,50.1,-91.92,66.2,63,20,5.82
Slave Lake,CA,1562334198,55.28,-114.77,51.8,81,90,2.24
Kavaratti,IN,1562334198,10.57,72.64,84.13,77,99,18.92
Ouro Preto do Oeste,BR,1562334199,-10.75,-62.22,76.03,88,96,1.54
Arinos,BR,1562334199,-15.92,-46.11,83.41,31,0,10.04
Beloha,MG,1562334199,-25.17,45.06,69.91,65,0,10.58
Presidencia Roque Saenz Pena,AR,1562334200,-26.79,-60.44,54.97,52,0,6.29
Vardo,US,1562334200,39.62,-77.74,80.01,78,90,6.93
Ekibastuz,KZ,1562334200,51.72,75.32,75.13,41,26,4.0
Lavrentiya,RU,1562334200,65.58,-170.99,50.29,82,22,3.87
Dosso,NE,1562334200,13.05,3.19,94.21,33,100,3.56
Baker City,US,1562334201,44.77,-117.83,63.0,93,1,3.6
Jeremie,HT,1562334201,18.65,-74.12,82.51,70,0,6.46
Degtyarsk,RU,1562334201,56.7,60.09,71.6,37,0,17.9
Byron Bay,AU,1562334201,-28.65,153.62,64.4,93,90,11.41
Praya,ID,1562334202,-8.71,116.27,75.2,88,75,8.05
Fez,MA,1562334202,34.03,-5.02,89.6,33,0,8.05
Kurumkan,RU,1562334202,54.33,110.32,50.29,74,0,1.39
Peniche,PT,1562334202,39.36,-9.38,81.0,47,40,13.87
Berdigestyakh,RU,1562334203,62.1,126.7,49.39,95,63,2.62
Thinadhoo,MV,1562334203,0.53,72.93,83.95,78,78,10.2
Teknaf,BD,1562334203,20.86,92.31,82.15,88,100,20.24
Esso,RU,1562334203,55.93,158.7,45.07,84,16,3.38
Isla Mujeres,MX,1562334204,21.23,-86.73,80.6,88,40,2.24
Boa Vista,BR,1562334204,2.82,-60.67,84.2,70,75,11.41
Gunnedah,AU,1562334205,-30.98,150.25,55.4,71,75,11.41
Fayetteville,US,1562334042,36.06,-94.16,78.01,100,90,17.22
Kaeo,NZ,1562334205,-35.1,173.78,43.0,92,3,3.0
Chicama,PE,1562334205,-7.84,-79.15,62.6,88,75,6.93
Tsiroanomandidy,MG,1562334206,-18.77,46.05,67.93,48,93,2.86
Kokoda,PG,1562334206,-8.88,147.74,58.93,91,86,3.29
Baruun-Urt,MN,1562334206,46.68,113.28,54.79,50,0,7.83
Fortuna,US,1562334206,40.6,-124.16,57.99,93,90,6.93
Severo-Kurilsk,RU,1562334207,50.68,156.12,42.73,95,90,5.53
Katsuura,JP,1562334207,33.93,134.5,75.2,73,75,9.17
Brookhaven,US,1562334207,40.78,-72.92,79.0,78,90,6.93
Saint-Augustin,CA,1562334208,45.63,-73.98,82.99,88,90,2.24
Moen,BE,1562334208,50.77,3.4,84.0,39,0,6.93
Mglin,RU,1562334208,53.06,32.85,58.75,83,100,9.69
Leningradskiy,RU,1562334209,69.38,178.42,51.01,76,7,9.8
Makakilo City,US,1562334209,21.35,-158.09,78.8,94,40,6.62
Hualmay,PE,1562334209,-11.1,-77.61,62.53,83,97,7.81
Portland,US,1562334209,43.66,-70.25,84.99,69,40,3.36
Catamayo,EC,1562334210,-3.99,-79.36,66.2,72,75,3.36
Atambua,ID,1562334210,-9.11,124.89,75.31,69,0,19.86
San Clemente,US,1562334146,33.43,-117.61,66.99,87,90,4.92
Carnot,CF,1562334210,4.94,15.87,82.51,75,69,3.6
Shenkursk,RU,1562334211,62.11,42.91,60.55,90,80,7.74
Richards Bay,ZA,1562334211,-28.77,32.06,68.65,71,51,26.11
Varkkallai,IN,1562334211,8.73,76.71,84.2,83,75,5.82
Kpandu,GH,1562334212,7.0,0.29,83.95,70,90,7.23
Cairns,AU,1562334186,-16.92,145.77,69.8,88,90,11.41
Nanchang,CN,1562333958,28.68,115.89,74.23,98,97,5.06
Miranda de Ebro,ES,1562334213,42.69,-2.95,87.8,40,40,9.17
Turukhansk,RU,1562334213,65.8,87.96,69.73,56,0,9.01
Nadaun,IN,1562334213,31.78,76.34,94.21,47,16,2.42
Mayo,CA,1562334213,63.59,-135.9,59.0,93,75,2.24
Kieta,PG,1562334214,-6.22,155.63,79.27,80,100,5.7
Omsukchan,RU,1562334214,62.53,155.8,50.47,84,24,6.02
Saint-Georges,CA,1562334214,46.12,-70.67,81.0,57,58,4.85
Muscle Shoals,US,1562334214,34.75,-87.67,82.99,83,1,3.36
Puerto Madryn,AR,1562334175,-42.77,-65.04,41.47,49,0,13.73
Panitian,PH,1562334215,9.1,118.09,76.39,84,74,1.74
Chihuahua,MX,1562334215,28.66,-106.08,73.0,66,93,3.69
North Bend,US,1562334215,43.41,-124.22,57.2,93,90,5.91
Nurota,UZ,1562334216,40.56,65.69,98.6,13,3,16.11
Orel,CZ,1562334216,49.92,15.84,78.01,29,0,13.87
Mahajanga,MG,1562334030,-15.72,46.32,87.8,45,20,4.7
Aras,ES,1562334216,42.56,-2.36,95.0,26,20,2.24
Lexington,US,1562334216,38.05,-84.5,79.0,88,75,5.03
San Francisco,CO,1562334193,1.17,-76.88,66.2,68,40,4.47
La Asuncion,AR,1562334217,-26.05,-65.39,39.13,88,100,3.36
Mhlambanyatsi,SZ,1562334217,-26.45,31.02,69.8,46,20,17.22
Tura,RU,1562333995,64.27,100.22,62.17,59,16,10.49
Newport,US,1562334193,41.49,-71.31,82.99,100,90,5.82
Bojnurd,IR,1562334218,37.47,57.33,89.6,24,0,6.93
Poltavka,RU,1562334218,54.36,71.76,69.19,82,0,7.02
Verkhnyaya Inta,RU,1562334218,65.99,60.32,68.83,66,60,20.29
Ibra,OM,1562334218,22.69,58.55,96.19,16,53,5.44
Peranamallur,IN,1562334219,12.57,79.43,86.65,47,100,6.87
Kaseda,JP,1562334219,31.42,130.32,73.4,88,75,9.17
Lichtenburg,ZA,1562334219,-26.15,26.16,62.17,14,0,6.98
Mersing,MY,1562334219,2.43,103.84,76.03,94,86,1.79
Helong,CN,1562334219,25.94,116.13,76.75,92,100,3.15
Murray Bridge,AU,1562334220,-35.12,139.28,63.0,77,100,5.01
Coihaique,CL,1562334220,-45.58,-72.07,39.2,86,75,11.41
Kasempa,ZM,1562334220,-13.46,25.83,77.29,28,0,5.75
Spirit River,CA,1562334220,55.78,-118.84,52.0,87,40,8.05
Chegdomyn,RU,1562334221,51.13,133.04,60.19,93,98,2.3
Ocos,GT,1562334221,14.51,-92.19,78.8,78,75,3.33
Wewak,PG,1562334221,-3.55,143.63,75.31,88,100,4.25
Dogondoutchi,NE,1562334221,13.64,4.03,96.01,31,0,4.45
Jacareacanga,BR,1562334221,-6.22,-57.76,88.63,52,100,3.85
Talcahuano,CL,1562333928,-36.72,-73.12,44.6,65,0,13.87
Tahlequah,US,1562334163,35.92,-94.97,82.0,83,1,5.82
Sisimiut,GL,1562334222,66.94,-53.67,39.49,88,100,9.84
Jadu,LY,1562334222,31.95,12.03,99.97,14,0,11.54
Puerto Escondido,MX,1562334222,15.86,-97.07,77.0,78,40,6.93
Dalvik,SE,1562334223,57.79,14.13,64.99,42,20,14.99
Szczecin,PL,1562334027,53.43,14.55,66.99,77,40,14.99
Nouadhibou,MR,1562334223,20.93,-17.03,78.8,57,0,17.22
